"","GAZP","MGNT","MTSS","NLMK","SBER","ret_GAZP","ret_MGNT","ret_MTSS","ret_NLMK","ret_SBER"
"2019-10-14",226,3136.5,265.5,129.06,228.4,-0.00604364721976136,-0.0236305891610478,-0.00937213982886309,-0.00756468292801049,-0.00832774972606121
"2019-10-15",226,3215,267.5,125.52,229.4,0,0.0247198291349218,0.00750472565406746,-0.027812304082917,0.00436872691341517
"2019-10-16",227.7,3254.5,267.75,128.56,231,0.00749397379740735,0.0122112963407215,0.00093414299179706,0.0239306130044801,0.00695050582652268
"2019-10-17",228,3239.5,265.35,129.4,233.5,0.0013166558847475,-0.00461965712242929,-0.00900400005395419,0.00651266063754363,0.0107643665871588
"2019-10-18",228,3215,269.1,128.8,235.55,0,-0.0075916392182922,0.0140333484589563,-0.00464756839654701,0.00874112803709792
"2019-10-21",228.54,3175,267,126.6,234.94,0.0023656207641265,-0.0125197253449283,-0.00783439933261043,-0.0172283039601773,-0.00259304275031003
"2019-10-22",235.36,3230,270.3,126.62,239.77,0.0294050071345602,0.0171745048899101,0.0122837948821521,0.000157965405904292,0.0203499681179391
"2019-10-23",236.2,3214,270.95,126,239.57,0.00356264691013397,-0.00496586991924453,0.00240184872972105,-0.00490856816450247,-0.000834480792780923
"2019-10-24",243.94,3231,275.25,125,242.78,0.0322433896518302,0.00527541952703992,0.0157454735906661,-0.00796816964917646,0.0133100337487591
"2019-10-25",246.71,3182,278.65,123.42,240,0.0112912643615255,-0.0152817569267647,0.0122767384127567,-0.0127205644093804,-0.011516760127666
"2019-10-28",244.4,3168,285.7,124.46,237.03,-0.00940733047917686,-0.00440945596341713,0.0249857952211814,0.0083912062481506,-0.0124522079392397
"2019-10-29",253.1,3211,287.3,129.2,240.11,0.0349784402536377,0.0134819411551987,0.00558465674851671,0.0373772122074296,0.0129104362699337
"2019-10-30",261.6,3201.5,287.75,127.5,239.51,0.0330319520319655,-0.00296296513065819,0.00156508161674829,-0.01324522675002,-0.00250198203992991
"2019-10-31",260,3232,285,125.04,234.89,-0.00613498856751615,0.00948169068212934,-0.00960286733334126,-0.01948267848526,-0.0194778501810111
"2019-11-01",263.79,3273.5,286.3,126.14,236.4,0.0144717010434929,0.0127586082401603,0.00455103183541894,0.00875871512228343,0.00640796608019922
