Date,Close
2023-02-21,468.2
2023-02-22,465.4
2023-02-24,473.4
2023-02-27,476.6
2023-02-28,475.6
2023-03-01,487.2
2023-03-02,475.2
2023-03-03,479.8
2023-03-06,489.8
2023-03-07,486.8
2023-03-09,488.6
2023-03-10,485.6
2023-03-13,497.8
2023-03-14,507.2
2023-03-15,501.2
2023-03-16,485.2
2023-03-17,482.4
2023-03-20,484.2
2023-03-21,480.6
2023-03-22,478.0
2023-03-23,478.0
2023-03-24,478.8
2023-03-27,485.6
2023-03-28,483.2
2023-03-29,483.4
2023-03-30,485.6
2023-03-31,480.8
2023-04-03,481.6
2023-04-04,471.4
2023-04-05,467.8
2023-04-06,464.0
2023-04-07,461.2
2023-04-10,478.6
2023-04-11,467.0
2023-04-12,474.4
2023-04-13,470.6
2023-04-14,471.6
2023-04-17,476.4
2023-04-18,484.6
2023-04-19,471.6
2023-04-20,479.6
2023-04-21,480.6
2023-04-24,478.8
2023-04-25,478.6
2023-04-26,487.6
2023-04-27,501.8
2023-04-28,496.6
2023-05-02,484.2
2023-05-03,462.8
2023-05-04,472.2
2023-05-05,474.6
2023-05-08,467.0
2023-05-10,488.4
2023-05-11,479.0
2023-05-12,486.2
2023-05-15,516.6
2023-05-16,512.4
2023-05-17,512.0
2023-05-18,509.6
2023-05-19,540.4
2023-05-22,534.8
2023-05-23,532.4
2023-05-24,543.0
2023-05-25,541.6
2023-05-26,559.4
2023-05-29,591.6
2023-05-30,573.0
2023-05-31,574.8
2023-06-01,572.4
2023-06-02,618.6
2023-06-05,612.0
2023-06-06,629.8
2023-06-07,633.6
2023-06-08,641.4
2023-06-09,635.8
2023-06-13,634.4
2023-06-14,630.0
2023-06-15,623.8
2023-06-16,618.8
2023-06-19,621.6
2023-06-20,628.2
2023-06-21,641.4
2023-06-22,623.2
2023-06-23,613.8
2023-06-26,617.2
2023-06-27,626.6
2023-06-28,625.2
2023-06-29,622.6
2023-06-30,613.0
2023-07-03,610.2
2023-07-04,602.8
2023-07-05,605.2
2023-07-06,607.0
2023-07-07,605.8
2023-07-10,616.0
2023-07-11,622.8
2023-07-12,628.6
2023-07-13,640.6
2023-07-14,661.4
2023-07-17,684.6
2023-07-18,676.8
2023-07-19,669.2
2023-07-20,658.6
2023-07-21,671.4
2023-07-24,681.6
2023-07-25,679.8
2023-07-26,676.2
2023-07-27,697.4
2023-07-28,721.4
2023-07-31,716.6
2023-08-01,729.6
2023-08-02,723.0
2023-08-03,747.8
2023-08-04,729.8
2023-08-07,721.8
2023-08-08,731.0
2023-08-09,782.0
2023-08-10,761.6
2023-08-11,772.2
2023-08-14,734.4
2023-08-15,737.8
2023-08-16,709.8
2023-08-17,719.8
2023-08-18,724.4
2023-08-21,754.6
2023-08-22,743.0
2023-08-23,712.4
2023-08-24,730.2
2023-08-25,725.0
2023-08-28,735.0
2023-08-29,729.0
2023-08-30,730.0
2023-08-31,746.6
2023-09-01,740.4
2023-09-04,769.6
2023-09-05,761.4
2023-09-06,748.2
2023-09-07,730.2
2023-09-08,717.6
2023-09-11,663.0
2023-09-12,682.8
2023-09-13,645.0
2023-09-14,640.8
2023-09-15,645.2
2023-09-18,666.0
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,619.6
2023-10-23,619.6
2023-10-24,611.0
